Sr,STYLE,SEASON,CATEGORY,COLOUR,SKU,SIZE,QTY
1570,CEVBYBAA,FW25,BLOUSE,LEOPARD,10476893,M,1
1571,CEVBYBAA,FW25,BLOUSE,LEOPARD,10476894,L,1
1572,CEVBYBAA,FW25,BLOUSE,LEOPARD,10476895,XL,0
1573,CEVBYBAA,FW25,BLOUSE,LEOPARD,10476896,2XL,0
1574,CEVBYBAA,FW25,BLOUSE,LEOPARD,10476897,3XL,0
1575,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476790,XXS,0
1576,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476791,XS,0
1577,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476792,S,0
1578,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476793,M,0
1579,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476794,L,0
1580,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476795,XL,0
1581,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476796,2XL,0
1582,CEVTYAHA,FW25,BLOUSE,LEOPARD,10476797,3XL,0
1583,CEVTYAIA,FW25,BLOUSE,MULTI,10476910,XXS,0
1584,CEVTYAIA,FW25,BLOUSE,MULTI,10476911,XS,0
1585,CEVTYAIA,FW25,BLOUSE,MULTI,10476912,S,0
1586,CEVTYAIA,FW25,BLOUSE,MULTI,10476913,M,0
1587,CEVTYAIA,FW25,BLOUSE,MULTI,10476914,L,0
1588,CEVTYAIA,FW25,BLOUSE,MULTI,10476915,XL,0
1589,CEVTYAIA,FW25,BLOUSE,MULTI,10476916,2XL,0
1590,CEVTYAIA,FW25,BLOUSE,MULTI,10476917,3XL,0
1591,CEZ6YAOA,FW25,BLOUSE,MULTI,10476940,XXS,0
1592,CEZ6YAOA,FW25,BLOUSE,MULTI,10476941,XS,0
1593,CEZ6YAOA,FW25,BLOUSE,MULTI,10476942,S,0
1594,CEZ6YAOA,FW25,BLOUSE,MULTI,10476943,M,0
1595,CEZ6YAOA,FW25,BLOUSE,MULTI,10476944,L,0
1596,CEZ6YAOA,FW25,BLOUSE,MULTI,10476945,XL,0
1597,CEZ6YAOA,FW25,BLOUSE,MULTI,10476946,2XL,0
1598,CEZ6YAOA,FW25,BLOUSE,MULTI,10476947,3XL,0
1599,CEZGYAAA,FW25,BLOUSE,BLACK,10479260,XXS,0
1600,CEZGYAAA,FW25,BLOUSE,BLACK,10479261,XS,0
1601,CEZGYAAA,FW25,BLOUSE,BLACK,10479262,S,0
1602,CEZGYAAA,FW25,BLOUSE,BLACK,10479263,M,0
1603,CEZGYAAA,FW25,BLOUSE,BLACK,10479264,L,0
1604,CEZGYAAA,FW25,BLOUSE,BLACK,10479265,XL,0
1605,CEZGYAAA,FW25,BLOUSE,BLACK,10479266,2XL,0
1606,CEZGYAAA,FW25,BLOUSE,BLACK,10479267,3XL,0
1607,CEZGYAAA,FW25,BLOUSE,WHITE,10476900,XXS,0
1608,CEZGYAAA,FW25,BLOUSE,WHITE,10476901,XS,0
1609,CEZGYAAA,FW25,BLOUSE,WHITE,10476902,S,0
1610,CEZGYAAA,FW25,BLOUSE,WHITE,10476903,M,0
1611,CEZGYAAA,FW25,BLOUSE,WHITE,10476904,L,0
1612,CEZGYAAA,FW25,BLOUSE,WHITE,10476905,XL,0
1613,CEZGYAAA,FW25,BLOUSE,WHITE,10476906,2XL,0
1614,CEZGYAAA,FW25,BLOUSE,WHITE,10476907,3XL,0
1615,CFAAUTPA,FW25,BLOUSE,CREAM,10490070,XXS,0
1616,CFAAUTPA,FW25,BLOUSE,CREAM,10490071,XS,0
1617,CFAAUTPA,FW25,BLOUSE,CREAM,10490072,S,0
1618,CFAAUTPA,FW25,BLOUSE,CREAM,10490073,M,0
1619,CFAAUTPA,FW25,BLOUSE,CREAM,10490074,L,0
1620,CFAAUTPA,FW25,BLOUSE,CREAM,10490075,XL,0
1621,CFAAUTPA,FW25,BLOUSE,CREAM,10490076,2XL,0
1622,CFAAUTPA,FW25,BLOUSE,CREAM,10490077,3XL,0
1623,CFALYBGUA,FW25,BLOUSE,MULTI,10476810,XXS,0
1624,CFALYBGUA,FW25,BLOUSE,MULTI,10476811,XS,0
1625,CFALYBGUA,FW25,BLOUSE,MULTI,10476812,S,1
1626,CFALYBGUA,FW25,BLOUSE,MULTI,10476813,M,1
1627,CFALYBGUA,FW25,BLOUSE,MULTI,10476814,L,0
1628,CFALYBGUA,FW25,BLOUSE,MULTI,10476815,XL,0
1629,CFALYBGUA,FW25,BLOUSE,MULTI,10476816,2XL,0
1630,CFALYBGUA,FW25,BLOUSE,MULTI,10476817,3XL,0
1631,CFHEJNPS,FW25,BLOUSE,WHITE,10477470,O/S,0
1632,CFHHJNP,FW25,BLOUSE,WHITE,10490080,O/S,0
1633,F853Y004A,FW25,SWEATER,MULTI,10477030,XXS,0
1634,F853Y004A,FW25,SWEATER,MULTI,10477031,XS,0
1635,F853Y004A,FW25,SWEATER,MULTI,10477032,S,2
1636,F853Y004A,FW25,SWEATER,MULTI,10477033,M,0
1637,F853Y004A,FW25,SWEATER,MULTI,10477034,L,0
1638,F853Y004A,FW25,SWEATER,MULTI,10477035,XL,0
1639,F853Y004A,FW25,SWEATER,MULTI,10477036,2XL,0
1640,F853Y004A,FW25,SWEATER,MULTI,10477037,3XL,0
1641,F853Y005A,FW25,SWEATER,MULTI,10476990,XXS,0
1642,F853Y005A,FW25,SWEATER,MULTI,10476991,XS,0
1643,F853Y005A,FW25,SWEATER,MULTI,10476992,S,2
1644,F853Y005A,FW25,SWEATER,MULTI,10476993,M,1
1645,F853Y005A,FW25,SWEATER,MULTI,10476994,L,0
1646,F853Y005A,FW25,SWEATER,MULTI,10476995,XL,0
1647,F853Y005A,FW25,SWEATER,MULTI,10476996,2XL,0
1648,F853Y005A,FW25,SWEATER,MULTI,10476997,3XL,0
1649,FAQ1KNDPA,FW25,SWEATER,GREY,10477020,XXS,0
1650,FAQ1KNDPA,FW25,SWEATER,GREY,10477021,XS,0
1651,FAQ1KNDPA,FW25,SWEATER,GREY,10477022,S,0
1652,FAQ1KNDPA,FW25,SWEATER,GREY,10477023,M,0
1653,FAQ1KNDPA,FW25,SWEATER,GREY,10477024,L,0
1654,FAQ1KNDPA,FW25,SWEATER,GREY,10477025,XL,0
1655,FAQ1KNDPA,FW25,SWEATER,GREY,10477026,2XL,0
1656,FAQ1KNDPA,FW25,SWEATER,GREY,10477027,3XL,0
1657,FAQ4YASA,FW25,SWEATER,BLACK,10477000,O/S,0
1658,FAQHYCOUA,FW25,SWEATER,GREY,10490090,O/S,3
1659,FAQTKNDA,FW25,SWEATER,GREY,10477010,O/S,0
1660,FARZYAS,FW25,SWEATER,BLACK,10481350,XXS,0
1661,FARZYAS,FW25,SWEATER,BLACK,10481351,XS,0
1662,FARZYAS,FW25,SWEATER,BLACK,10481352,S,0
1663,FARZYAS,FW25,SWEATER,BLACK,10481353,M,0
1664,FARZYAS,FW25,SWEATER,BLACK,10481354,L,0
1665,FARZYAS,FW25,SWEATER,BLACK,10481355,XL,0
1666,FARZYAS,FW25,SWEATER,BLACK,10481356,2XL,0
1667,FARZYAS,FW25,SWEATER,BLACK,10481357,3XL,0
1668,FAS6KGS,FW25,SWEATER,BLACK,10481340,XXS,0
1669,FAS6KGS,FW25,SWEATER,BLACK,10481341,XS,0
1670,FAS6KGS,FW25,SWEATER,BLACK,10481342,S,0
1671,FAS6KGS,FW25,SWEATER,BLACK,10481343,M,0
1672,FAS6KGS,FW25,SWEATER,BLACK,10481344,L,0
1673,FAS6KGS,FW25,SWEATER,BLACK,10481345,XL,0
1674,FAS6KGS,FW25,SWEATER,BLACK,10481346,2XL,0
1675,FAS6KGS,FW25,SWEATER,BLACK,10481347,3XL,0
1676,G319Y005A,FW25,SKIRT,MULTI,10477460,XXS,0
1677,G319Y005A,FW25,SKIRT,MULTI,10477461,XS,0
1678,G319Y005A,FW25,SKIRT,MULTI,10477462,S,1
1679,G319Y005A,FW25,SKIRT,MULTI,10477463,M,0
1680,G319Y005A,FW25,SKIRT,MULTI,10477464,L,0
1681,G319Y005A,FW25,SKIRT,MULTI,10477465,XL,0
1682,G319Y005A,FW25,SKIRT,MULTI,10477466,2XL,0
1683,G319Y005A,FW25,SKIRT,MULTI,10477467,3XL,0
1684,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477130,XXS,0
1685,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477131,XS,0
1686,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477132,S,0
1687,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477133,M,0
1688,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477134,L,0
1689,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477135,XL,0
1690,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477136,2XL,0
1691,G319Y008A,FW25,SKIRT,BLACK/WHITE,10477137,3XL,0
1692,G319Y010A,FW25,SKIRT,BLACK,10477450,XXS,0
1693,G319Y010A,FW25,SKIRT,BLACK,10477451,XS,0
1694,G319Y010A,FW25,SKIRT,BLACK,10477452,S,0
1695,G319Y010A,FW25,SKIRT,BLACK,10477453,M,0
1696,G319Y010A,FW25,SKIRT,BLACK,10477454,L,0
1697,G319Y010A,FW25,SKIRT,BLACK,10477455,XL,0
1698,G319Y010A,FW25,SKIRT,BLACK,10477456,2XL,0
1699,G319Y010A,FW25,SKIRT,BLACK,10477457,3XL,0
1700,G319Y011A,FW25,SKIRT,MULTI,10477440,XXS,0
1701,G319Y011A,FW25,SKIRT,MULTI,10477441,XS,0
1702,G319Y011A,FW25,SKIRT,MULTI,10477442,S,0
1703,G319Y011A,FW25,SKIRT,MULTI,10477443,M,0
1704,G319Y011A,FW25,SKIRT,MULTI,10477444,L,0
1705,G319Y011A,FW25,SKIRT,MULTI,10477445,XL,0
1706,G319Y011A,FW25,SKIRT,MULTI,10477446,2XL,0
1707,G319Y011A,FW25,SKIRT,MULTI,10477447,3XL,0
1708,G689Z085,FW25,SKIRT,BLACK,10501090,XXS,0
1709,G689Z085,FW25,SKIRT,BLACK,10501091,XS,0
1710,G689Z085,FW25,SKIRT,BLACK,10501092,S,0
1711,G689Z085,FW25,SKIRT,BLACK,10501093,M,0
1712,G689Z085,FW25,SKIRT,BLACK,10501094,L,0
1713,G689Z085,FW25,SKIRT,BLACK,10501095,XL,0
1714,G689Z085,FW25,SKIRT,BLACK,10501096,2XL,0
1715,G689Z085,FW25,SKIRT,BLACK,10501097,3XL,0
1716,G844Y003A,FW25,SKIRT,MULTI,10477140,XXS,0
1717,G844Y003A,FW25,SKIRT,MULTI,10477141,XS,0
1718,G844Y003A,FW25,SKIRT,MULTI,10477142,S,0
1719,G844Y003A,FW25,SKIRT,MULTI,10477143,M,0
1720,G844Y003A,FW25,SKIRT,MULTI,10477144,L,0
1721,G844Y003A,FW25,SKIRT,MULTI,10477145,XL,0
1722,G844Y003A,FW25,SKIRT,MULTI,10477146,2XL,0
1723,G844Y003A,FW25,SKIRT,MULTI,10477147,3XL,0
1724,GCSRYBGA,FW25,SKIRT,MULTI,10477150,XXS,0
1725,GCSRYBGA,FW25,SKIRT,MULTI,10477151,XS,0
1726,GCSRYBGA,FW25,SKIRT,MULTI,10477152,S,1
1727,GCSRYBGA,FW25,SKIRT,MULTI,10477153,M,0
1728,GCSRYBGA,FW25,SKIRT,MULTI,10477154,L,0
1729,GCSRYBGA,FW25,SKIRT,MULTI,10477155,XL,0
1730,GCSRYBGA,FW25,SKIRT,MULTI,10477156,2XL,0
1731,GCSRYBGA,FW25,SKIRT,MULTI,10477157,3XL,0
1732,GCTIKHZA,FW25,SKIRT,BLACK,10477160,XXS,0
1733,GCTIKHZA,FW25,SKIRT,BLACK,10477161,XS,0
1734,GCTIKHZA,FW25,SKIRT,BLACK,10477162,S,2
1735,GCTIKHZA,FW25,SKIRT,BLACK,10477163,M,1
1736,GCTIKHZA,FW25,SKIRT,BLACK,10477164,L,0
1737,GCTIKHZA,FW25,SKIRT,BLACK,10477165,XL,0
1738,GCTIKHZA,FW25,SKIRT,BLACK,10477166,2XL,0
1739,GCTIKHZA,FW25,SKIRT,BLACK,10477167,3XL,0
1740,GCUFYDEA,FW25,SKIRT,MULTI,10477120,XXS,0
1741,GCUFYDEA,FW25,SKIRT,MULTI,10477121,XS,0
1742,GCUFYDEA,FW25,SKIRT,MULTI,10477122,S,0
1743,GCUFYDEA,FW25,SKIRT,MULTI,10477123,M,0
1744,GCUFYDEA,FW25,SKIRT,MULTI,10477124,L,0
1745,GCUFYDEA,FW25,SKIRT,MULTI,10477125,XL,0
1746,GCUFYDEA,FW25,SKIRT,MULTI,10477126,2XL,0
1747,GCUFYDEA,FW25,SKIRT,MULTI,10477127,3XL,0
1748,GCZ7WED,FW25,SKIRT,BLACK,10478790,XXS,0
1749,GCZ7WED,FW25,SKIRT,BLACK,10478791,XS,0
1750,GCZ7WED,FW25,SKIRT,BLACK,10478792,S,1
1751,GCZ7WED,FW25,SKIRT,BLACK,10478793,M,0
1752,GCZ7WED,FW25,SKIRT,BLACK,10478794,L,0
1753,GCZ7WED,FW25,SKIRT,BLACK,10478795,XL,0
1754,GCZ7WED,FW25,SKIRT,BLACK,10478796,2XL,0
1755,GCZ7WED,FW25,SKIRT,BLACK,10478797,3XL,0
1756,GDB3KGTU,FW25,SKIRT,BLACK,10481550,XXS,0
1757,GDB3KGTU,FW25,SKIRT,BLACK,10481551,XS,0
1758,GDB3KGTU,FW25,SKIRT,BLACK,10481552,S,0
1759,GDB3KGTU,FW25,SKIRT,BLACK,10481553,M,0
1760,GDB3KGTU,FW25,SKIRT,BLACK,10481554,L,0
1761,GDB3KGTU,FW25,SKIRT,BLACK,10481555,XL,0
1762,GDB3KGTU,FW25,SKIRT,BLACK,10481556,2XL,0
1763,GDB3KGTU,FW25,SKIRT,BLACK,10481557,3XL,0
1764,GDBRYHC01,FW25,SKIRT,BLACK,10481540,XXS,0
1765,GDBRYHC01,FW25,SKIRT,BLACK,10481541,XS,0
1766,GDBRYHC01,FW25,SKIRT,BLACK,10481542,S,0
1767,GDBRYHC01,FW25,SKIRT,BLACK,10481543,M,0
1768,GDBRYHC01,FW25,SKIRT,BLACK,10481544,L,0
1769,GDBRYHC01,FW25,SKIRT,BLACK,10481545,XL,0
1770,GDBRYHC01,FW25,SKIRT,BLACK,10481546,2XL,0
1771,GDBRYHC01,FW25,SKIRT,BLACK,10481547,3XL,0
1772,GDBRYLV,FW25,SKIRT,BROWN,10493220,XXS,0
1773,GDBRYLV,FW25,SKIRT,BROWN,10493221,XS,0
1774,GDBRYLV,FW25,SKIRT,BROWN,10493222,S,0
1775,GDBRYLV,FW25,SKIRT,BROWN,10493223,M,0
1776,GDBRYLV,FW25,SKIRT,BROWN,10493224,L,0
1777,GDBRYLV,FW25,SKIRT,BROWN,10493225,XL,0
1778,GDBRYLV,FW25,SKIRT,BROWN,10493226,2XL,0
1779,GDBRYLV,FW25,SKIRT,BROWN,10493227,3XL,0
1780,J845K089,FW25,JACKET,BLACK/GREY,10433350,XXS,0
1781,J845K089,FW25,JACKET,BLACK/GREY,10433351,XS,0
1782,J845K089,FW25,JACKET,BLACK/GREY,10433352,S,0
1783,J845K089,FW25,JACKET,BLACK/GREY,10433353,M,2
1784,J845K089,FW25,JACKET,BLACK/GREY,10433354,L,0
1785,J845K089,FW25,JACKET,BLACK/GREY,10433355,XL,0
1786,J845K089,FW25,JACKET,BLACK/GREY,10433356,2XL,0
1787,J845K089,FW25,JACKET,BLACK/GREY,10433357,3XL,0
1788,J845K091,FW25,JACKET,GREEN,10474370,O/S,0
1789,J845Y009A,FW25,JACKET,MULTI,10479250,XXS,0
1790,J845Y009A,FW25,JACKET,MULTI,10479251,XS,0
1791,J845Y009A,FW25,JACKET,MULTI,10479252,S,0
1792,J845Y009A,FW25,JACKET,MULTI,10479253,M,0
1793,J845Y009A,FW25,JACKET,MULTI,10479254,L,0
1794,J845Y009A,FW25,JACKET,MULTI,10479255,XL,0
1795,J845Y009A,FW25,JACKET,MULTI,10479256,2XL,0
1796,J845Y009A,FW25,JACKET,MULTI,10479257,3XL,0
1797,J845Y010A,FW25,JACKET,PINK,10479230,XXS,0
1798,J845Y010A,FW25,JACKET,PINK,10479231,XS,0
1799,J845Y010A,FW25,JACKET,PINK,10479232,S,0
1800,J845Y010A,FW25,JACKET,PINK,10479233,M,0
1801,J845Y010A,FW25,JACKET,PINK,10479234,L,0
1802,J845Y010A,FW25,JACKET,PINK,10479235,XL,0
1803,J845Y010A,FW25,JACKET,PINK,10479236,2XL,0
1804,J845Y010A,FW25,JACKET,PINK,10479237,3XL,0
1805,JCAZKGVA,FW25,JACKET,BROWN,10477070,XXS,0
1806,JCAZKGVA,FW25,JACKET,BROWN,10477071,XS,0
1807,JCAZKGVA,FW25,JACKET,BROWN,10477072,S,0
1808,JCAZKGVA,FW25,JACKET,BROWN,10477073,M,0
1809,JCAZKGVA,FW25,JACKET,BROWN,10477074,L,0
1810,JCAZKGVA,FW25,JACKET,BROWN,10477075,XL,0
1811,JCAZKGVA,FW25,JACKET,BROWN,10477076,2XL,0
1812,JCAZKGVA,FW25,JACKET,BROWN,10477077,3XL,0
1813,JDD1DGPA,FW25,JACKET,BLACK,10481470,XXS,0
1814,JDD1DGPA,FW25,JACKET,BLACK,10481471,XS,0
1815,JDD1DGPA,FW25,JACKET,BLACK,10481472,S,0
1816,JDD1DGPA,FW25,JACKET,BLACK,10481473,M,0
1817,JDD1DGPA,FW25,JACKET,BLACK,10481474,L,0
1818,JDD1DGPA,FW25,JACKET,BLACK,10481475,XL,0
1819,JDD1DGPA,FW25,JACKET,BLACK,10481476,2XL,0
1820,JDD1DGPA,FW25,JACKET,BLACK,10481477,3XL,0
1821,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481480,XXS,0
1822,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481481,XS,0
1823,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481482,S,2
1824,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481483,M,1
1825,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481484,L,0
1826,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481485,XL,0
1827,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481486,2XL,0
1828,JDD1DGPA,FW25,JACKET,OFF-WHITE,10481487,3XL,0
1829,JDDLYCBPA,FW25,JACKET,BROWN,10477080,XXS,0
1830,JDDLYCBPA,FW25,JACKET,BROWN,10477081,XS,0
1831,JDDLYCBPA,FW25,JACKET,BROWN,10477082,S,0
1832,JDDLYCBPA,FW25,JACKET,BROWN,10477083,M,0
1833,JDDLYCBPA,FW25,JACKET,BROWN,10477084,L,0
1834,JDDLYCBPA,FW25,JACKET,BROWN,10477085,XL,0
1835,JDDLYCBPA,FW25,JACKET,BROWN,10477086,2XL,0
1836,JDDLYCBPA,FW25,JACKET,BROWN,10477087,3XL,0
1837,JDDOYAEA,FW25,JACKET,JEANS,10477090,XXS,0
1838,JDDOYAEA,FW25,JACKET,JEANS,10477091,XS,0
1839,JDDOYAEA,FW25,JACKET,JEANS,10477092,S,1
1840,JDDOYAEA,FW25,JACKET,JEANS,10477093,M,1
1841,JDDOYAEA,FW25,JACKET,JEANS,10477094,L,0
1842,JDDOYAEA,FW25,JACKET,JEANS,10477095,XL,0
1843,JDDOYAEA,FW25,JACKET,JEANS,10477096,2XL,0
1844,JDDOYAEA,FW25,JACKET,JEANS,10477097,3XL,0
1845,JDEQTRQ,FW25,JACKET,TAUPE,10474360,XXS,0
1846,JDEQTRQ,FW25,JACKET,TAUPE,10474361,XS,0
1847,JDEQTRQ,FW25,JACKET,TAUPE,10474362,S,0
1848,JDEQTRQ,FW25,JACKET,TAUPE,10474363,M,0
1849,JDEQTRQ,FW25,JACKET,TAUPE,10474364,L,0
1850,JDEQTRQ,FW25,JACKET,TAUPE,10474365,XL,0
1851,JDEQTRQ,FW25,JACKET,TAUPE,10474366,2XL,0
1852,JDEQTRQ,FW25,JACKET,TAUPE,10474367,3XL,0
1853,JDETYBUA,FW25,JACKET,MULTI,10479240,XXS,0
1854,JDETYBUA,FW25,JACKET,MULTI,10479241,XS,0
1855,JDETYBUA,FW25,JACKET,MULTI,10479242,S,0
1856,JDETYBUA,FW25,JACKET,MULTI,10479243,M,1
1857,JDETYBUA,FW25,JACKET,MULTI,10479244,L,0
1858,JDETYBUA,FW25,JACKET,MULTI,10479245,XL,0
1859,JDETYBUA,FW25,JACKET,MULTI,10479246,2XL,0
1860,JDETYBUA,FW25,JACKET,MULTI,10479247,3XL,0
1861,JDEVKHZPA,FW25,JACKET,BLACK,10477110,XXS,0
1862,JDEVKHZPA,FW25,JACKET,BLACK,10477111,XS,0
1863,JDEVKHZPA,FW25,JACKET,BLACK,10477112,S,1
1864,JDEVKHZPA,FW25,JACKET,BLACK,10477113,M,1
1865,JDEVKHZPA,FW25,JACKET,BLACK,10477114,L,0
1866,JDEVKHZPA,FW25,JACKET,BLACK,10477115,XL,0
1867,JDEVKHZPA,FW25,JACKET,BLACK,10477116,2XL,0
1868,JDEVKHZPA,FW25,JACKET,BLACK,10477117,3XL,0
1869,K330Y002A,FW25,COAT,BLACK,10481580,XXS,0
1870,K330Y002A,FW25,COAT,BLACK,10481581,XS,0
1871,K330Y002A,FW25,COAT,BLACK,10481582,S,0
1872,K330Y002A,FW25,COAT,BLACK,10481583,M,0
1873,K330Y002A,FW25,COAT,BLACK,10481584,L,0
1874,K330Y002A,FW25,COAT,BLACK,10481585,XL,0
1875,K330Y002A,FW25,COAT,BLACK,10481586,2XL,0
1876,K330Y002A,FW25,COAT,BLACK,10481587,3XL,0
1877,K330Y002A,FW25,COAT,GREY,10481590,XXS,0
1878,K330Y002A,FW25,COAT,GREY,10481591,XS,0
1879,K330Y002A,FW25,COAT,GREY,10481592,S,2
1880,K330Y002A,FW25,COAT,GREY,10481593,M,0
1881,K330Y002A,FW25,COAT,GREY,10481594,L,0
1882,K330Y002A,FW25,COAT,GREY,10481595,XL,0
1883,K330Y002A,FW25,COAT,GREY,10481596,2XL,0
1884,K330Y002A,FW25,COAT,GREY,10481597,3XL,0
1885,K330Y004A,FW25,COAT,BROWN,10483100,O/S,0
1886,K330Y004A,FW25,COAT,GREY,10481600,O/S,0
1887,K768Y013A,FW25,COAT,MULTI,10477170,XXS,0
1888,K768Y013A,FW25,COAT,MULTI,10477171,XS,0
1889,K768Y013A,FW25,COAT,MULTI,10477172,S,0
1890,K768Y013A,FW25,COAT,MULTI,10477173,M,0
1891,K768Y013A,FW25,COAT,MULTI,10477174,L,0
1892,K768Y013A,FW25,COAT,MULTI,10477175,XL,0
1893,K768Y013A,FW25,COAT,MULTI,10477176,2XL,0
1894,K768Y013A,FW25,COAT,MULTI,10477177,3XL,0
1895,KBE9JLDA,FW25,COAT,CAMEL,10477190,XXS,0
1896,KBE9JLDA,FW25,COAT,CAMEL,10477191,XS,0
1897,KBE9JLDA,FW25,COAT,CAMEL,10477192,S,0
1898,KBE9JLDA,FW25,COAT,CAMEL,10477193,M,0
1899,KBE9JLDA,FW25,COAT,CAMEL,10477194,L,0
1900,KBE9JLDA,FW25,COAT,CAMEL,10477195,XL,0
1901,KBE9JLDA,FW25,COAT,CAMEL,10477196,2XL,0
1902,KBE9JLDA,FW25,COAT,CAMEL,10477197,3XL,0
1903,KBEHYBSUA,FW25,COAT,GREY,10481610,XXS,0
1904,KBEHYBSUA,FW25,COAT,GREY,10481611,XS,0
1905,KBEHYBSUA,FW25,COAT,GREY,10481612,S,0
1906,KBEHYBSUA,FW25,COAT,GREY,10481613,M,1
1907,KBEHYBSUA,FW25,COAT,GREY,10481614,L,0
1908,KBEHYBSUA,FW25,COAT,GREY,10481615,XL,0
1909,KBEHYBSUA,FW25,COAT,GREY,10481616,2XL,0
1910,KBEHYBSUA,FW25,COAT,GREY,10481617,3XL,0
1911,KBEIYBNA,FW25,COAT,BLACK,10490140,XXS,0
1912,KBEIYBNA,FW25,COAT,BLACK,10490141,XS,0
1913,KBEIYBNA,FW25,COAT,BLACK,10490142,S,0
1914,KBEIYBNA,FW25,COAT,BLACK,10490143,M,0
1915,KBEIYBNA,FW25,COAT,BLACK,10490144,L,0
1916,KBEIYBNA,FW25,COAT,BLACK,10490145,XL,0
1917,KBEIYBNA,FW25,COAT,BLACK,10490146,2XL,0
1918,KBEIYBNA,FW25,COAT,BLACK,10490147,3XL,0
1919,L223Y004A,FW25,JACKET,GREY,10477060,XXS,0
1920,L223Y004A,FW25,JACKET,GREY,10477061,XS,0
1921,L223Y004A,FW25,JACKET,GREY,10477062,S,1
1922,L223Y004A,FW25,JACKET,GREY,10477063,M,1
1923,L223Y004A,FW25,JACKET,GREY,10477064,L,0
1924,L223Y004A,FW25,JACKET,GREY,10477065,XL,0
1925,L223Y004A,FW25,JACKET,GREY,10477066,2XL,0
1926,L223Y004A,FW25,JACKET,GREY,10477067,3XL,0
1927,L648Y015,FW25,GILET,GREY,10481560,XXS,0
1928,L648Y015,FW25,GILET,GREY,10481561,XS,0
1929,L648Y015,FW25,GILET,GREY,10481562,S,0
1930,L648Y015,FW25,GILET,GREY,10481563,M,0
1931,L648Y015,FW25,GILET,GREY,10481564,L,0
1932,L648Y015,FW25,GILET,GREY,10481565,XL,0
1933,L648Y015,FW25,GILET,GREY,10481566,2XL,0
1934,L648Y015,FW25,GILET,GREY,10481567,3XL,0
1935,M103Y074A,FW25,SWEATER,BLACK,10476970,XXS,0
1936,M103Y074A,FW25,SWEATER,BLACK,10476971,XS,0
1937,M103Y074A,FW25,SWEATER,BLACK,10476972,S,0
1938,M103Y074A,FW25,SWEATER,BLACK,10476973,M,0
1939,M103Y074A,FW25,SWEATER,BLACK,10476974,L,0
1940,M103Y074A,FW25,SWEATER,BLACK,10476975,XL,0
1941,M103Y074A,FW25,SWEATER,BLACK,10476976,2XL,0
1942,M103Y074A,FW25,SWEATER,BLACK,10476977,3XL,0
1943,M223K088,FW25,SWEATER,BLACK,10474310,XXS,0
1944,M223K088,FW25,SWEATER,BLACK,10474311,XS,0
1945,M223K088,FW25,SWEATER,BLACK,10474312,S,0
1946,M223K088,FW25,SWEATER,BLACK,10474313,M,0
1947,M223K088,FW25,SWEATER,BLACK,10474314,L,0
1948,M223K088,FW25,SWEATER,BLACK,10474315,XL,0
1949,M223K088,FW25,SWEATER,BLACK,10474316,2XL,0
1950,M223K088,FW25,SWEATER,BLACK,10474317,3XL,0
1951,M223K088,FW25,SWEATER,BLUE,10474290,XXS,0
1952,M223K088,FW25,SWEATER,BLUE,10474291,XS,0
1953,M223K088,FW25,SWEATER,BLUE,10474292,S,0
1954,M223K088,FW25,SWEATER,BLUE,10474293,M,0
1955,M223K088,FW25,SWEATER,BLUE,10474294,L,0
1956,M223K088,FW25,SWEATER,BLUE,10474295,XL,0
1957,M223K088,FW25,SWEATER,BLUE,10474296,2XL,0
1958,M223K088,FW25,SWEATER,BLUE,10474297,3XL,0
1959,M223K088,FW25,SWEATER,LIME,10474300,XXS,0
1960,M223K088,FW25,SWEATER,LIME,10474301,XS,0
1961,M223K088,FW25,SWEATER,LIME,10474302,S,2
1962,M223K088,FW25,SWEATER,LIME,10474303,M,1
1963,M223K088,FW25,SWEATER,LIME,10474304,L,0
1964,M223K088,FW25,SWEATER,LIME,10474305,XL,0
1965,M223K088,FW25,SWEATER,LIME,10474306,2XL,0
1966,M223K088,FW25,SWEATER,LIME,10474307,3XL,0
1967,M223K088,FW25,SWEATER,RED,10475650,XXS,0
1968,M223K088,FW25,SWEATER,RED,10475651,XS,0
1969,M223K088,FW25,SWEATER,RED,10475652,S,0
1970,M223K088,FW25,SWEATER,RED,10475653,M,1
