Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Unit Price Base Measure Unit,Variant Barcode
,,,,,L,,,BLACK,,,,,45203,0,,
,,,,,XL,,,BLACK,,,,,45203,0,,
,,,,,2XL,,,BLACK,,,,,45203,0,,
,,,,,3XL,,,BLACK,,,,,45203,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45202,0,,
,,,,,XS,,,BLACK,,,,,45202,0,,
,,,,,S,,,BLACK,,,,,45202,0,,
,,,,,M,,,BLACK,,,,,45202,0,,
,,,,,L,,,BLACK,,,,,45202,0,,
,,,,,XL,,,BLACK,,,,,45202,0,,
,,,,,2XL,,,BLACK,,,,,45202,0,,
,,,,,3XL,,,BLACK,,,,,45202,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45200,0,,
,,,,,XS,,,BLACK,,,,,45200,0,,
,,,,,S,,,BLACK,,,,,45200,0,,
,,,,,M,,,BLACK,,,,,45200,0,,
,,,,,L,,,BLACK,,,,,45200,0,,
,,,,,XL,,,BLACK,,,,,45200,0,,
,,,,,2XL,,,BLACK,,,,,45200,0,,
,,,,,3XL,,,BLACK,,,,,45200,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45014,0,,
,,,,,XS,,,BLACK,,,,,45014,0,,
,,,,,S,,,BLACK,,,,,45014,0,,
,,,,,M,,,BLACK,,,,,45014,0,,
,,,,,L,,,BLACK,,,,,45014,0,,
,,,,,XL,,,BLACK,,,,,45014,0,,
,,,,,2XL,,,BLACK,,,,,45014,0,,
,,,,,3XL,,,BLACK,,,,,45014,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,45013,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,1,,COLOUR,BLACK,,,,,44710,0,,
,,,,,2,,,BLACK,,,,,44710,0,,
,,,,,3,,,BLACK,,,,,44710,0,,
,,,,,4,,,BLACK,,,,,44710,0,,
,,,,,5,,,BLACK,,,,,44710,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,44608,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,1,,COLOUR,BLACK,,,,,35713,0,,
,,,,,2,,,BLACK,,,,,35713,0,,
,,,,,3,,,BLACK,,,,,35713,0,,
,,,,,4,,,BLACK,,,,,35713,0,,
,,,,,5,,,BLACK,,,,,35713,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,1,,COLOUR,BLACK,,,,,35427R,0,,
,,,,,2,,,BLACK,,,,,35427R,0,,
,,,,,3,,,BLACK,,,,,35427R,0,,
,,,,,4,,,BLACK,,,,,35427R,0,,
,,,,,5,,,BLACK,,,,,35427R,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,241178,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,240816,0,,
,,,,,XS,,,BLACK,,,,,240816,0,,
,,,,,S,,,BLACK,,,,,240816,0,,
,,,,,M,,,BLACK,,,,,240816,0,,
,,,,,L,,,BLACK,,,,,240816,0,,
,,,,,XL,,,BLACK,,,,,240816,0,,
,,,,,2XL,,,BLACK,,,,,240816,0,,
,,,,,3XL,,,BLACK,,,,,240816,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,240790,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,240263,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,WHITE,,,,,2303579,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,230236,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,225224,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,223804,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,125147,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,MULTI,,,,,125143,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,125136,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,110252,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BROWN/BLUE,,,,,WL1057,0,,
,,,,,O/S,,,BROWN/CREAM,,,,,WL1057,0,,
,,,,,O/S,,,GREY/PINK,,,,,WL1057,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BURGUNDY,,,,,WL1029AI25,0,,
,,,,,O/S,,,CHARCOAL,,,,,WL1029AI25,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,WL1024AI25,0,,
,,,,,O/S,,,BURGUNDY,,,,,WL1024AI25,0,,
,,,,,O/S,,,CHARCOAL,,,,,WL1024AI25,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BROWN,,,,,W5HMJ87A373,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BROWN,,,,,W5HMJ64A400,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BROWN,,,,,W5HMJ63A400,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BURGUNDY,,,,,W5HMJ60A359,0,,
,,,,,O/S,,,GREY,,,,,W5HMJ60A359,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BLACK/WHITE,,,,,W5HMJ57A453,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,W5HMJ55A418,0,,
,,,,,O/S,,,BURGUNDY,,,,,W5HMJ55A418,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,W5HMG94A400,0,,
,,,,,O/S,,,BROWN,,,,,W5HMG94A400,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,CAMEL,,,,,W5HMG80A400,0,,
,,,,,O/S,,,GREEN,,,,,W5HMG80A400,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,MULTI,,,,,W5HMG42A400,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BROWN,,,,,W25X078,0,,
,,,,,XS,,,BROWN,,,,,W25X078,0,,
,,,,,S,,,BROWN,,,,,W25X078,0,,
,,,,,M,,,BROWN,,,,,W25X078,0,,
,,,,,L,,,BROWN,,,,,W25X078,0,,
,,,,,XL,,,BROWN,,,,,W25X078,0,,
,,,,,2XL,,,BROWN,,,,,W25X078,0,,
,,,,,3XL,,,BROWN,,,,,W25X078,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,MULTI,,,,,W25P817,0,,
,,,,,XS,,,MULTI,,,,,W25P817,0,,
,,,,,S,,,MULTI,,,,,W25P817,0,,
,,,,,M,,,MULTI,,,,,W25P817,0,,
,,,,,L,,,MULTI,,,,,W25P817,0,,
,,,,,XL,,,MULTI,,,,,W25P817,0,,
,,,,,2XL,,,MULTI,,,,,W25P817,0,,
,,,,,3XL,,,MULTI,,,,,W25P817,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BROWN,,,,,W25P690,0,,
,,,,,XXS,,,GREY,,,,,W25P690,0,,
,,,,,XS,,,BROWN,,,,,W25P690,0,,
,,,,,XS,,,GREY,,,,,W25P690,0,,
,,,,,S,,,BROWN,,,,,W25P690,0,,
,,,,,S,,,GREY,,,,,W25P690,0,,
,,,,,M,,,BROWN,,,,,W25P690,0,,
,,,,,M,,,GREY,,,,,W25P690,0,,
,,,,,L,,,BROWN,,,,,W25P690,0,,
,,,,,L,,,GREY,,,,,W25P690,0,,
,,,,,XL,,,BROWN,,,,,W25P690,0,,
,,,,,2XL,,,BROWN,,,,,W25P690,0,,
,,,,,3XL,,,BROWN,,,,,W25P690,0,,
,,,,,XL,,,GREY,,,,,W25P690,0,,
,,,,,2XL,,,GREY,,,,,W25P690,0,,
,,,,,3XL,,,GREY,,,,,W25P690,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,MULTI,,,,,W25J604,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BROWN,,,,,W25J533,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,CREAM/BROWN,,,,,W25J080,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BEIGE,,,,,W25A066,0,,
,,,,,XXS,,,BLACK,,,,,W25A066,0,,
,,,,,XS,,,BEIGE,,,,,W25A066,0,,
,,,,,XS,,,BLACK,,,,,W25A066,0,,
,,,,,S,,,BEIGE,,,,,W25A066,0,,
,,,,,S,,,BLACK,,,,,W25A066,0,,
,,,,,M,,,BEIGE,,,,,W25A066,0,,
,,,,,M,,,BLACK,,,,,W25A066,0,,
,,,,,L,,,BEIGE,,,,,W25A066,0,,
,,,,,L,,,BLACK,,,,,W25A066,0,,
,,,,,XL,,,BEIGE,,,,,W25A066,0,,
,,,,,2XL,,,BEIGE,,,,,W25A066,0,,
,,,,,3XL,,,BEIGE,,,,,W25A066,0,,
,,,,,XL,,,BLACK,,,,,W25A066,0,,
,,,,,2XL,,,BLACK,,,,,W25A066,0,,
,,,,,3XL,,,BLACK,,,,,W25A066,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BROWN/GREY,,,,,TR923,0,,
,,,,,XS,,,BROWN/GREY,,,,,TR923,0,,
,,,,,S,,,BROWN/GREY,,,,,TR923,0,,
,,,,,M,,,BROWN/GREY,,,,,TR923,0,,
,,,,,L,,,BROWN/GREY,,,,,TR923,0,,
,,,,,XL,,,BROWN/GREY,,,,,TR923,0,,
,,,,,2XL,,,BROWN/GREY,,,,,TR923,0,,
,,,,,3XL,,,BROWN/GREY,,,,,TR923,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BEIGE,,,,,TI2503,0,,
,,,,,XS,,,BEIGE,,,,,TI2503,0,,
,,,,,S,,,BEIGE,,,,,TI2503,0,,
,,,,,M,,,BEIGE,,,,,TI2503,0,,
,,,,,L,,,BEIGE,,,,,TI2503,0,,
,,,,,XL,,,BEIGE,,,,,TI2503,0,,
,,,,,2XL,,,BEIGE,,,,,TI2503,0,,
,,,,,3XL,,,BEIGE,,,,,TI2503,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,LEOPARD,,,,,TI2445,0,,
,,,,,XS,,,LEOPARD,,,,,TI2445,0,,
,,,,,S,,,LEOPARD,,,,,TI2445,0,,
,,,,,M,,,LEOPARD,,,,,TI2445,0,,
,,,,,L,,,LEOPARD,,,,,TI2445,0,,
,,,,,XL,,,LEOPARD,,,,,TI2445,0,,
,,,,,2XL,,,LEOPARD,,,,,TI2445,0,,
,,,,,3XL,,,LEOPARD,,,,,TI2445,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BROWN,,,,,MHP531,0,,
,,,,,O/S,,,BURGUNDY,,,,,MHP531,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,I26319,0,,
,,,,,O/S,,,GOLD,,,,,I26319,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,GREY,,,,,FW250054,0,,
,,,,,XS,,,GREY,,,,,FW250054,0,,
,,,,,S,,,GREY,,,,,FW250054,0,,
,,,,,M,,,GREY,,,,,FW250054,0,,
,,,,,L,,,GREY,,,,,FW250054,0,,
,,,,,XL,,,GREY,,,,,FW250054,0,,
,,,,,2XL,,,GREY,,,,,FW250054,0,,
,,,,,3XL,,,GREY,,,,,FW250054,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,GREY,,,,,FW250053,0,,
,,,,,XS,,,GREY,,,,,FW250053,0,,
,,,,,S,,,GREY,,,,,FW250053,0,,
,,,,,M,,,GREY,,,,,FW250053,0,,
,,,,,L,,,GREY,,,,,FW250053,0,,
,,,,,XL,,,GREY,,,,,FW250053,0,,
,,,,,2XL,,,GREY,,,,,FW250053,0,,
,,,,,3XL,,,GREY,,,,,FW250053,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,FW250052,0,,
,,,,,XXS,,,BROWN,,,,,FW250052,0,,
